x, y
1, 6.126760563380282
2.047619047619048, 6.676056338028168
3.0952380952380953, 7.140845070422536
5.142857142857142, 8.577464788732394
6.142857142857142, 8.471830985915492
7.190476190476192, 9.76056338028169
8.19047619047619, 8.830985915492956
9.238095238095237, 10.647887323943662
10.285714285714286, 9.380281690140844
11.285714285714285, 8.95774647887324
12.333333333333334, 9.12676056338028
13.38095238095238, 10.859154929577464
14.38095238095238, 11.028169014084508
15.42857142857143, 10.3943661971831
16.476190476190478, 9.359154929577468
17.476190476190478, 8.746478873239436
18.523809523809526, 8.91549295774648
19.523809523809526, 7.52112676056338
20.571428571428573, 6.211267605633802
21.571428571428573, 6.08450704225352
22.619047619047617, 6.422535211267604
23.66666666666667, 6.295774647887324
24.714285714285715, 6.422535211267604
25.714285714285715, 7.014084507042254
26.761904761904763, 6.380281690140844
27.809523809523814, 5.91549295774648
28.80952380952381, 6.126760563380282
29.80952380952381, 5.366197183098592
30.85714285714286, 5.577464788732396
31.904761904761905, 5.070422535211266
32.904761904761905, 3.67605633802817
33.95238095238095, 4.690140845070422
36, 2.28169014084507
37.04761904761905, 2.154929577464788
35.04761904761905, 2.28169014084507
4.095238095238095, 7.732394366197183
